event_id,event_date,event_type,severity_level,cause,description,affected_product_id,affected_product_name,affected_supplier_id,affected_supplier_name,location_country,location_state,location_city,delay_duration_hours,shortage_quantity,financial_impact_usd,resolved,resolution_date,resolution_notes
EVT-00012,2023-10-13,shortage,severe,regulatory,Regulatory change in South Korea restricted import of chemical precursors.,P-10012,Industrial Adhesive,S-2011,Seoul Chemicals,KR,Gyeonggi,Suwon,,22000,155000,false,,
EVT-00013,2023-05-30,transportation_failure,moderate,other,Unexpected border closure interrupted scheduled deliveries to Canada.,P-10013,Industrial Pumps,S-2012,MapleTech,CA,Ontario,Toronto,15,,5700,true,2023-06-01,Shipments rerouted through alternate ports.
EVT-00014,2023-09-21,delay,minor,demand_spike,Sudden increase in orders for mobile phones delayed shipment for one day.,P-10014,Smartphones,S-2013,MobileHub,DE,Bavaria,Munich,10,,2300,true,2023-09-22,Production line increased to accommodate demand.
EVT-00015,2021-02-27,quality_issue,moderate,supplier_issue,"Supplier delivered subpar steel, causing delays in quality checks.",P-10015,Steel Rods,S-2014,SteelWorks Ltd.,IT,Lombardy,Milan,,290,3200,true,2021-03-03,Supplier replaced faulty batch within five days.
EVT-00016,2024-02-16,delay,minor,weather,Wintry mix delayed courier trucks in Pennsylvania.,P-10016,Printer Paper,S-2015,PaperFlow,US,Pennsylvania,Pittsburgh,6,,450,true,2024-02-17,Regular schedule resumed once weather cleared.
EVT-00017,2023-04-09,natural_disaster,severe,other,Earthquake in Japan interrupted supply chain for electronics.,P-10017,Microchips,S-2016,Kyoto Semiconductors,JP,Kyoto,Kyoto,,1200,800000,false,,
EVT-00018,2023-12-03,delay,moderate,demand_spike,Holiday season demand delayed warehouse processing of orders.,P-10018,Tablets,S-2017,CompuZone,FR,Île-de-France,Paris,14,,1800,true,2023-12-04,Night shift added to process orders.
EVT-00019,2023-07-11,transportation_failure,critical,equipment_failure,Container ship engine failure stranded goods off Cape Town.,P-10019,Solar Panels,S-2018,Cape Energy,ZA,Western Cape,Cape Town,48,,250000,false,,
EVT-00020,2022-07-15,shortage,severe,unknown,Sudden shortage of silicon wafers with no clear cause identified.,P-10020,Silicon Wafers,S-2019,Seoul Electronics,KR,Gyeonggi,Suwon,,18000,120000,false,,
EVT-00021,2023-11-06,delay,minor,weather,Heavy rain in Guangdong delayed factory supply departures.,P-10021,Smart Watches,S-2020,Guangdong Tech,CN,Guangdong,Shenzhen,7,,800,true,2023-11-07,Supplies dispatched after weather improved.
EVT-00022,2022-06-28,quality_issue,critical,equipment_failure,Defective conveyor caused batch contamination for food products.,P-10022,Instant Noodles,S-2021,Asia Foods,CN,Sichuan,Chengdu,,900,10000,true,2022-07-04,Conveyor replaced and operations resumed.
EVT-00023,2024-04-01,delay,minor,weather,Spring snowstorm delayed outbound shipments from Toronto.,P-10023,Sportswear,S-2022,Athletica,CA,Ontario,Toronto,5.5,,550,true,2024-04-02,Shipments processed as soon as weather cleared.
EVT-00024,2023-02-19,delay,minor,other,Customs inspection delayed delivery at Hamburg port.,P-10024,Kitchen Appliances,S-2023,HausPro,DE,Hamburg,Hamburg,9,,1500,true,2023-02-20,Cleared after documentation review.
EVT-00025,2018-09-24,delay,minor,weather,Typhoon Mangkhut caused major port closure in Hong Kong.,P-10025,Children's Toys,S-2024,HappyToys Ltd.,CN,Hong Kong,Hong Kong,16,,4000,true,2018-09-25,Operations resumed after storm passed.
EVT-00026,2023-10-18,transportation_failure,severe,other,Truck driver strike disrupted deliveries in northern Italy.,P-10026,Luxury Handbags,S-2025,Milano Leather,IT,Lombardy,Milan,24,,18500,false,,
EVT-00027,2023-05-14,quality_issue,minor,other,Incorrect part numbers led to mislabeling and shipment return.,P-10027,Brake Pads,,,US,Ohio,Cleveland,,,350,true,2023-05-16,Labeling process reviewed and corrected.
EVT-00028,2024-02-08,shortage,critical,labor_strike,Strike at Pune auto supplier halted shipments of engine mounts.,P-10028,Engine Mounts,S-2026,Pune Auto Parts,IN,Maharashtra,Pune,,98000,845000,false,,
EVT-00029,2022-08-11,delay,minor,weather,"Tropical storm delayed port operations in Miami, Florida.",P-10029,Frozen Shrimp,S-2027,Atlantic Seafood,US,Florida,Miami,12,,2200,true,2022-08-12,Shipment dispatched after storm warning lifted.
EVT-00030,2023-03-17,delay,minor,other,Unexpected vehicle breakdown delayed rural deliveries.,P-10030,Organic Eggs,S-2028,FarmFresh Supply,US,Iowa,Des Moines,3.5,,180,true,2023-03-18,Backup vehicle dispatched for completion.
EVT-00031,2022-10-23,transportation_failure,critical,equipment_failure,Railcar derailment in South Africa delayed copper shipments.,P-10031,Copper Wire,S-2029,Cape Metals,ZA,Gauteng,Johannesburg,36,,185000,true,2022-10-25,Track cleared and shipments resumed after repairs.
EVT-00032,2023-02-06,shortage,critical,regulatory,Customs embargo in Brazil halted pharmaceutical imports.,P-10032,Pain Relief Tablets,,,BR,Rio de Janeiro,Rio de Janeiro,,35000,1580000,false,,
EVT-00033,2021-07-01,delay,minor,weather,Flash floods in London delayed dispatch from distribution center.,P-10033,Fashion Apparel,S-2030,BritStyle Ltd.,GB,England,London,5,,990,true,2021-07-02,Operations resumed after water receded.
EVT-00034,2023-08-10,delay,minor,demand_spike,Major online promotion led to temporary shipping backlog.,P-10034,Laptop Chargers,S-2031,EuroPower,FR,Île-de-France,Paris,8,,1200,true,2023-08-11,Extra warehouse staff cleared backlog.
EVT-00035,2024-04-04,transportation_failure,moderate,other,Unexpected road closures in Paris delayed courier deliveries.,P-10035,Perfume Bottles,S-2032,Parisian Scents,FR,Île-de-France,Paris,18,,5400,true,2024-04-06,Shipments rerouted via alternate routes.
EVT-00036,2021-12-12,delay,minor,other,Dockworkers' meeting caused shipping delays at Rotterdam port.,P-10036,Bicycle Tires,S-2033,CycleParts BV,NL,South Holland,Rotterdam,6.5,,700,true,2021-12-13,Normal operations resumed after meeting.
EVT-00037,2022-04-30,shortage,severe,labor_strike,Port strike in Durban led to shortage of imported goods.,P-10037,Processed Foods,S-2034,Durban Imports,ZA,KwaZulu-Natal,Durban,,63000,332000,false,,
EVT-00038,2022-09-10,quality_issue,minor,unknown,Batch failed QA due to improper sealing detected on random check.,P-10038,Canned Soup,,,CA,Alberta,Edmonton,,110,210,true,2022-09-13,QA protocols enhanced for batch sealing.
EVT-00039,2024-03-08,delay,minor,demand_spike,Unexpected order spike delayed outgoing shipments in Berlin.,P-10039,Computer Keyboards,S-2035,KeyTech GmbH,DE,Berlin,Berlin,4,,950,true,2024-03-09,Orders processed with overtime staff.
EVT-00040,2024-04-06,natural_disaster,critical,weather,Cyclone in Queensland halted all port activity for three days.,P-10040,Mining Equipment,S-2036,Aussie Mining,AU,Queensland,Brisbane,,24000,2100000,false,,
EVT-00041,2023-01-30,delay,minor,weather,Heavy snowfall in Warsaw delayed last-mile deliveries by a day.,P-10041,Winter Jackets,S-2037,PolarApparel,PL,Masovian,Warsaw,10,,1300,true,2023-01-31,Deliveries resumed after snow clearance.
EVT-00042,2022-11-14,shortage,critical,supplier_issue,Supplier bankruptcy led to critical shortage of microcontrollers.,P-10042,Microcontrollers,S-2038,Tokyo Circuits,JP,Tokyo,Tokyo,,105000,3700000,false,,
EVT-00043,2023-07-04,quality_issue,moderate,equipment_failure,Batch of pressure valves failed final inspection due to calibration issue.,P-10043,Pressure Valves,S-2039,ValveTech,US,Ohio,Columbus,,250,2600,true,2023-07-07,Calibration corrected and batch retested.
EVT-00044,2019-05-14,delay,minor,weather,River flooding in Bavaria delayed cargo train schedules.,P-10044,Wood Panels,S-2040,Bavarian Lumber,DE,Bavaria,Nuremberg,8,,1100,true,2019-05-15,Rail service resumed after floodwaters receded.
EVT-00045,2020-08-22,shortage,severe,unknown,Unexplained shortage of specialty glass used in optics production.,P-10045,Optical Glass,S-2041,VisionCraft,JP,Osaka,Osaka,,14500,78000,false,,
EVT-00046,2022-01-11,delay,minor,demand_spike,Surge in new year orders delayed outbound shipments in Paris.,P-10046,Wristwatches,S-2042,Horlogerie Paris,FR,Île-de-France,Paris,7,,950,true,2022-01-12,Additional shifts arranged to clear orders.
EVT-00047,2023-03-21,transportation_failure,critical,equipment_failure,Major ocean vessel breakdown delayed bulk shipments to Korea.,P-10047,Raw Cotton Bales,S-2043,Global Fibers,KR,Busan,Busan,42,,420000,false,,
EVT-00048,2022-05-25,quality_issue,minor,other,Incorrect expiration dates printed on food packaging.,P-10048,Chocolate Bars,,,BR,Bahia,Salvador,,60,180,true,2022-05-26,Packaging line updated to correct dates.
EVT-00049,2000-01-01,delay,minor,other,Y2K system issue caused minor shipping delays in Sydney.,P-10049,Laptops,S-2044,TechAdvance,AU,New South Wales,Sydney,2,,50,true,2000-01-02,System patch applied; operations normalized.
EVT-00050,2023-06-17,delay,minor,weather,Heavy thunderstorms delayed outbound shipments in Atlanta.,P-10050,Children's Books,S-2045,PeachTree Books,US,Georgia,Atlanta,4,,380,true,2023-06-18,Shipments resumed after storm subsided.
EVT-00051,2022-10-16,delay,moderate,weather,Heavy rainfall caused delays in scheduled shipments for electronics components.,P-01023,Wireless Router,S-1008,Summit Electronics,US,Illinois,Chicago,14.5,,3200.5,true,2022-10-18,Shipments resumed after weather cleared and roads were reopened.
EVT-00052,2023-01-04,shortage,critical,labor_strike,"Prolonged labor strike halted production, resulting in major product shortages.",P-01436,LED Monitor,S-1034,OptiVision Tech,KR,Gyeonggi,Suwon,,124000,2150000,false,,
EVT-00053,2023-04-27,quality_issue,moderate,equipment_failure,Inspection revealed quality defects traced to malfunctioning assembly line machinery.,P-01928,Bluetooth Speaker,S-1112,Beacon Manufacturing,DE,Bavaria,Munich,,180,4800,true,2023-05-03,Replaced faulty equipment and re-inspected affected batches.
EVT-00054,2021-07-18,natural_disaster,severe,weather,Earthquake disrupted supply chain operations and damaged key infrastructure.,P-02144,Solar Charger,S-1157,SunCore Components,JP,Tohoku,Sendai,,19000,425000,false,,
EVT-00055,2023-09-09,delay,minor,demand_spike,Unexpected increase in demand led to short-term shipping delays for retail orders.,P-01072,Mobile Charger,S-1092,UrbanTech Power,UK,Greater London,London,6,,810,true,2023-09-10,Expedited shipping and staff overtime minimized further delays.
EVT-00056,2021-12-23,delay,minor,weather,Snowstorm caused transportation delays for last-mile delivery trucks.,P-01209,Smart Thermostat,S-1002,HomeConnect Supply,US,New York,Buffalo,12,,2200,true,2021-12-24,Alternative routes enabled partial recovery by next day.
EVT-00057,2024-03-21,shortage,critical,regulatory,"New import regulations stopped shipments, leading to critical shortages.",P-02016,Medical Sensor,,,IN,Maharashtra,Mumbai,,54000,760000,false,,
EVT-00058,2020-10-02,delay,minor,weather,Flooded highways delayed inbound shipments for consumer electronics.,P-01485,Digital Camera,S-1046,PixPro Imaging,US,Texas,Houston,17,,3300,true,2020-10-04,Water levels receded and shipments resumed on alternative routes.
EVT-00059,2022-05-29,quality_issue,minor,unknown,Minor product defects discovered during routine QA inspection.,P-01811,Fitness Tracker,S-1137,MoveTek Suppliers,DE,Saxony,Leipzig,,32,480,true,2022-05-31,Defective units isolated and replaced in outgoing shipments.
EVT-00060,2023-06-11,transportation_failure,severe,equipment_failure,Truck engine failure resulted in missed delivery windows for retail partners.,P-01353,Electric Toothbrush,S-1067,FreshCo Supply,CA,Ontario,Toronto,22,,5600,false,,
EVT-00061,2022-04-15,delay,minor,demand_spike,Unexpected surge in orders led to backlog and minor shipping delays.,P-01297,Portable SSD,S-1021,DataCore Components,UK,West Midlands,Birmingham,4,,540,true,2022-04-16,Increased staffing cleared the backlog within 24 hours.
EVT-00062,2022-01-09,shortage,severe,supplier_issue,Key raw material shortage due to supplier bankruptcy caused supply disruption.,P-02197,Rechargeable Battery,S-1102,Voltix Power,CN,Guangdong,Shenzhen,,106500,965000,false,,
EVT-00063,2022-11-22,delay,minor,weather,Severe storms delayed incoming shipments for holiday season inventory.,P-01708,Smart Watch,S-1123,TimeTech Solutions,US,Oregon,Portland,8,,1800,true,2022-11-23,Shipments prioritized and delivered next day.
EVT-00064,2021-02-14,natural_disaster,critical,other,Tsunami caused catastrophic damage to port facilities and delayed supply chain operations.,P-01622,Marine GPS,S-1128,AquaNav Tech,JP,Chubu,Nagoya,,90300,3800000,false,,
EVT-00065,2023-11-10,delay,minor,demand_spike,Holiday season demand resulted in shipping delays for several SKUs.,P-01826,Bluetooth Earbuds,S-1131,SoundPeak Ltd.,US,California,San Diego,10,,1100,true,2023-11-12,Shipping partners increased capacity to clear backlog.
EVT-00066,2020-02-18,delay,minor,other,Logistics software outage led to temporary shipment delays.,P-01391,VR Headset,S-1074,Immersion Labs,FR,Île-de-France,Paris,3.5,,450,true,2020-02-19,System restored and shipments reprocessed successfully.
EVT-00067,2024-02-26,transportation_failure,critical,other,Cargo ship breakdown in port delayed high-value shipments.,P-02045,Industrial Sensor,S-1160,TransGlobal Tech,ZA,Gauteng,Johannesburg,43,,888000,false,,
EVT-00068,2024-01-13,quality_issue,minor,equipment_failure,Automated test system error led to minor quality issues in production batch.,,,S-1150,AutoCheck Systems,US,Ohio,Columbus,,62,1350,true,2024-01-15,Test system recalibrated and defective units replaced.
EVT-00069,2021-09-07,delay,minor,weather,Hurricane in the Gulf Coast resulted in delays for eastbound shipments.,P-01689,Smart Lock,S-1100,SecureHome Inc.,US,Louisiana,New Orleans,21,,5100,true,2021-09-09,Shipments rerouted and resumed after storm subsided.
EVT-00070,2022-06-19,quality_issue,critical,supplier_issue,Major production flaw detected in supplier's batch of memory chips.,P-02092,Memory Module,S-1172,MegaRAM Ltd.,KR,Seoul,Seoul,,900,17500,true,2022-06-25,Supplier replaced defective units and issued credit.
EVT-00071,2021-03-02,transportation_failure,moderate,equipment_failure,Railway engine malfunction delayed bulk shipments for two days.,P-01812,Laptop Stand,S-1143,ErgoFlex Gear,FR,Normandy,Rouen,44,,2100,true,2021-03-05,Engine repaired and cargo moved to alternate train.
EVT-00072,2023-08-17,shortage,critical,unknown,Unexpected halt in material flow resulted in significant supply shortage.,P-01781,Power Adapter,,,IT,Lombardy,Milan,,89300,1830000,false,,
EVT-00073,2022-03-28,delay,minor,weather,Dense fog caused overnight delay for coastal shipments.,P-01763,USB Flash Drive,S-1121,BrightData Inc.,UK,West Yorkshire,Leeds,7,,930,true,2022-03-29,Shipments processed as soon as visibility improved.
EVT-00074,2024-03-05,shortage,severe,supplier_issue,"Supplier failed to deliver components, causing moderate shortage for product line.",P-02165,Smart Lightbulb,S-1187,GlobeBright Inc.,CN,Sichuan,Chengdu,,29950,146000,true,2024-03-13,Supplier contract renegotiated and alternative sourced.
EVT-00075,2021-06-24,quality_issue,moderate,other,Batch failed QA due to unusual odor; cause under investigation.,P-01579,Wireless Mouse,,,US,California,San Jose,,148,1020,true,2021-06-28,Defective batches segregated and replaced.
EVT-00076,2022-12-16,delay,minor,weather,Ice storm in northern US caused carrier delays for e-commerce shipments.,P-01386,Electric Kettle,S-1068,KitchenSmart Co.,US,Minnesota,Minneapolis,11,,1960,true,2022-12-17,Carrier schedule adjusted and backlog cleared within 24 hours.
EVT-00077,2023-06-27,transportation_failure,critical,other,"Container ship ran aground, halting delivery of imported goods.",P-01931,Tablet Computer,S-1164,OceanTrade Ltd.,BR,Sao Paulo,Santos,41,,970000,false,,
EVT-00078,2022-08-02,delay,moderate,demand_spike,"Seasonal sales event caused surge in orders, stretching fulfillment capacity.",P-01792,Smart TV,S-1122,Premier Displays,FR,Provence,Marseille,16,,2050,true,2022-08-03,Additional staff shifts added to reduce backlog.
EVT-00079,2019-05-15,delay,minor,other,Unexpected customs inspection delayed shipments leaving port.,P-01262,External Hard Drive,S-1014,DataSafe Ltd.,DE,Hesse,Frankfurt,7.5,,910,true,2019-05-16,Customs clearance completed next day.
EVT-00080,2022-02-11,shortage,critical,labor_strike,"Nationwide strike in Brazil stopped exports, causing product shortages.",P-01635,Coffee Grinder,,,BR,Bahia,Salvador,,117000,1910000,false,,
EVT-00081,2023-03-12,quality_issue,minor,other,Minor packaging defect reported by downstream distributor.,,,,,FR,Brittany,Rennes,,20,400,true,2023-03-14,Packaging process reviewed and minor fixes implemented.
EVT-00082,2024-03-10,natural_disaster,critical,weather,Cyclone caused significant supply chain disruption across multiple suppliers.,P-02205,Wind Turbine Blade,S-1190,EcoWind Components,AU,Queensland,Brisbane,,43200,1270000,false,,
EVT-00083,2022-07-15,transportation_failure,severe,other,Freight train derailment delayed distribution of high-volume products.,P-01749,Air Purifier,S-1148,PureAir Co.,US,Pennsylvania,Pittsburgh,33.5,,7400,true,2022-07-19,Alternative transport arranged within four days.
EVT-00084,2023-10-27,shortage,severe,regulatory,"New import restrictions delayed key material shipments, causing shortages.",P-02218,Steel Rod,S-1199,Metallix Corp.,ZA,Western Cape,Cape Town,,49200,175000,false,,
EVT-00085,2022-04-22,delay,minor,weather,Severe thunderstorms in Midwest delayed outbound shipments.,P-01136,Smart Plug,S-1012,PlugPros Ltd.,US,Missouri,Kansas City,13,,1800,true,2022-04-23,Weather improved and shipments dispatched next morning.
EVT-00086,2020-11-19,quality_issue,moderate,supplier_issue,Batch recall due to faulty components from upstream supplier.,P-01879,Thermal Camera,S-1152,VisiTech Imaging,CN,Shanghai,Shanghai,,246,3550,true,2020-11-23,Defective units returned and new batch expedited.
EVT-00087,2021-08-29,delay,minor,demand_spike,Sudden spike in online orders created shipping delays.,P-01520,Wireless Keyboard,S-1082,KeyStream Ltd.,DE,Berlin,Berlin,2.5,,310,true,2021-08-30,High-priority orders processed first to minimize impact.
EVT-00088,2023-07-09,transportation_failure,critical,equipment_failure,Forklift breakdown at distribution center caused delivery schedule disruptions.,P-02113,Mini Projector,S-1183,LightBeam Solutions,DE,North Rhine-Westphalia,Dusseldorf,26,,82000,false,,
EVT-00089,2024-02-18,delay,minor,weather,Snowfall in northern France delayed transportation of consumer goods.,P-02233,Smart Scale,S-1202,HealthMetrics SA,FR,Hauts-de-France,Lille,10,,1600,true,2024-02-19,Roads cleared and shipments resumed the next day.
EVT-00090,2021-11-16,shortage,critical,unknown,Critical shortage caused by unknown disruption in upstream supply.,P-01981,Laser Printer,S-1169,PrintPro Solutions,IN,Tamil Nadu,Chennai,,35600,720000,false,,
EVT-00091,2023-05-10,delay,minor,demand_spike,Sales promotion led to fulfillment delays for select SKUs.,P-01936,Streaming Stick,S-1165,StreamWorks Inc.,US,Georgia,Atlanta,5,,790,true,2023-05-11,Warehouse operations expanded to process orders.
EVT-00092,2020-08-11,delay,minor,weather,Tropical storm delayed deliveries to southern Florida.,P-01324,Smart Doorbell,S-1056,EntryTech Inc.,US,Florida,Miami,13,,1550,true,2020-08-12,Deliveries resumed after storm passed.
EVT-00093,2023-04-03,transportation_failure,moderate,equipment_failure,Conveyor belt breakdown at hub caused regional delivery delays.,P-01827,Digital Scale,S-1132,WeighPro Devices,UK,Greater Manchester,Manchester,19.5,,4200,true,2023-04-06,Repairs completed and backlog cleared over two days.
EVT-00094,2022-09-23,quality_issue,moderate,unknown,Unexplained product returns prompted investigation into minor quality issues.,P-01640,Smart Bulb,,,IT,Veneto,Venice,,24,670,true,2022-09-25,Customer feedback collected and issue isolated.
EVT-00095,2021-05-03,shortage,severe,supplier_issue,"Supplier missed delivery deadline, causing temporary shortage.",P-01805,Portable Speaker,S-1134,SoundHub Ltd.,JP,Kansai,Osaka,,28520,123000,false,,
EVT-00096,2023-02-02,delay,minor,weather,"Snow closed mountain passes, causing late deliveries to western states.",P-02141,Wi-Fi Extender,S-1158,SignalBoost Tech,US,Colorado,Denver,14,,1990,true,2023-02-03,Alternate routes identified and used for urgent shipments.
EVT-00097,2021-04-09,delay,minor,demand_spike,Flash sale caused brief delay in e-commerce order fulfillment.,P-01488,Fitness Band,S-1047,ActiveGear Supply,DE,Hamburg,Hamburg,3,,600,true,2021-04-10,Extra staff shifts cleared backlog quickly.
EVT-00098,2024-01-20,quality_issue,critical,equipment_failure,Critical defect in automated assembly line resulted in mass recall.,P-02255,EV Charging Cable,S-1208,AutoCharge Tech,US,Michigan,Detroit,,1100,18700,true,2024-01-28,Entire production run replaced and affected vehicles serviced.
EVT-00099,2022-05-07,delay,minor,weather,Tornado watch in Oklahoma delayed regional shipments by a day.,P-01795,Gaming Mouse,S-1125,GamePro Devices,US,Oklahoma,Oklahoma City,24,,2950,true,2022-05-08,Local carriers resumed operations after all-clear.
EVT-00100,2020-06-30,transportation_failure,moderate,other,Unexpected breakdown of delivery van delayed urban distribution by 12 hours.,P-01558,Home Security Camera,S-1097,SafeGuard Co.,US,Washington,Seattle,12,,1300,true,2020-07-01,Backup van deployed and deliveries completed next morning.
EVT-00201,2022-02-18,delay,minor,weather,"Heavy snow caused minor delays in regional shipments, affecting delivery timelines by several hours.",P-10431,Industrial Widget,S-3001,Northfield Supplies,CA,Ontario,Toronto,4.5,,380.25,true,2022-02-20,Logistics team rerouted deliveries to avoid snow-affected routes.
EVT-00202,2023-06-23,delay,moderate,demand_spike,Unexpected increase in orders led to backlog and moderate shipping delays across several regions.,P-11854,Precision Fastener,S-3355,Precision Partners,US,Texas,Houston,12,,2200,true,2023-06-25,Production shifts were added to clear the backlog.
EVT-00203,2021-10-30,shortage,critical,labor_strike,"A labor strike at the main plant halted production, resulting in a critical shortage of mainline products.",P-10921,Heavy Duty Cable,S-3122,CableWorks Group,BR,São Paulo,Campinas,,127000,2300000,false,,
EVT-00204,2023-09-12,quality_issue,minor,equipment_failure,Equipment malfunction at supplier site led to minor quality issues in a small subset of parts.,P-11208,Copper Pin,S-3079,Universal Metals,DE,Bavaria,Munich,,75,650,true,2023-09-16,Parts were recalled and replaced after a rapid inspection.
EVT-00205,2024-01-13,natural_disaster,critical,weather,"Major flooding disrupted the regional supply chain, impacting multiple product lines.",P-12399,Weatherproof Sealant,S-3308,SealPro Industries,AU,Queensland,Brisbane,,19900,1200000,false,,
EVT-00206,2022-08-07,delay,minor,weather,"Thunderstorms delayed shipments, mainly affecting central warehouse deliveries.",P-11521,Thermal Sensor,S-3402,ThermoLogic Ltd,US,Illinois,Chicago,2.75,,210.5,true,2022-08-08,All deliveries rescheduled for next business day.
EVT-00207,2022-12-05,transportation_failure,severe,equipment_failure,Mechanical failure in a key delivery truck caused severe delays in product distribution.,P-10345,Smart Relay,S-3190,Relay Express,FR,Île-de-France,Paris,24,,1800,false,,
EVT-00208,2023-03-14,quality_issue,moderate,supplier_issue,"Supplier reported inconsistent quality in raw materials, requiring additional inspection.",P-10877,Alloy Sheet,S-3152,Alloy Resources,KR,Gyeonggi,Suwon,,120,3250,true,2023-03-20,Defective materials returned; new lot shipped.
EVT-00209,2022-04-11,delay,minor,weather,"Foggy conditions delayed morning deliveries, minor operational impact.",P-11012,Safety Valve,S-3270,ValveCore Inc,UK,England,Manchester,3,,175,true,2022-04-12,Delivery schedule adjusted for improved visibility.
EVT-00210,2021-12-17,shortage,critical,supplier_issue,"Critical shortage due to a major supplier's bankruptcy, leading to widespread product unavailability.",P-10199,Stainless Screw,,,CN,Guangdong,Guangzhou,,98000,1300000,false,,
EVT-00211,2023-01-30,delay,minor,other,Minor IT system outage delayed order processing for several hours.,P-12222,Composite Panel,S-3012,PanelTech,US,California,San Diego,5.5,,410,true,2023-01-31,IT team restored systems and cleared the queue.
EVT-00212,2024-04-01,quality_issue,critical,unknown,"Critical defect found in a batch of electronics, requiring urgent recall and replacement.",P-12456,Control Module,S-3411,ElectroSource,JP,Chiba,Chiba,,970,17200,true,2024-04-10,All defective units replaced under warranty.
EVT-00213,2023-10-05,delay,minor,demand_spike,Holiday sales surge caused minor delays in outbound shipments.,P-10838,Packaging Tape,S-3034,Tape Solutions,IT,Lombardy,Milan,7.25,,315,true,2023-10-06,Extra shifts reduced order backlog.
EVT-00214,2021-05-14,transportation_failure,critical,other,Critical breakdown of a cargo ship delayed international deliveries by two days.,P-10560,Marine Cable,S-3388,Oceanic Shippers,ZA,Gauteng,Johannesburg,48,,50000,false,,
EVT-00215,2023-08-01,shortage,severe,regulatory,New government regulation caused a supply shortage in key parts.,P-12172,Filtration Cartridge,S-3098,CleanAir Supplies,KR,Gyeongsang,Busan,,10900,78000,false,,
EVT-00216,2022-05-17,delay,minor,demand_spike,Demand surge after product launch led to slight shipping delays.,P-10749,LED Panel,S-3177,Bright Lights Inc,US,Ohio,Cleveland,3.75,,295,true,2022-05-18,Additional transport arranged for high-priority orders.
EVT-00217,2022-07-23,quality_issue,minor,other,"Minor cosmetic defects detected in finished goods, limited impact on sales.",P-12041,Plastic Housing,S-3087,Plastiforms,IN,Karnataka,Bangalore,,25,185,true,2022-07-26,Defective units sold at discount.
EVT-00218,2023-11-02,shortage,critical,labor_strike,Port workers' strike resulted in a critical shortage of imported raw materials.,P-10045,Steel Coil,S-3133,Global Metals,JP,Osaka,Osaka,,136000,1800000,false,,
EVT-00219,2023-03-29,delay,minor,weather,Icy roads delayed shipments in the region by a few hours.,P-11987,Insulation Foam,S-3141,FoamTech Industries,US,Minnesota,Minneapolis,2,,150,true,2023-03-29,All deliveries re-routed to safer roads.
